Temp,Analysis,ID,preparation,d13C,d13C_sd,d18O,d18O_sd,d18O_outlier,D47,D47_outlier,d47,D47_SD,Temp_SD,param49,param49_sd,type,Specimen
1.1,this study,Ais1,344,-0.73,0.011,2.653,0.022,FALSE,0.848,FALSE,18.962,0.043,0.2,0.343450757,0.052182437,bivalve,mixed_1
1.1,this study,Ais1,344,-0.219,0.026,3.713,0.047,FALSE,0.675,FALSE,20.411,0.043,0.2,-0.055929504,0.156471319,bivalve,mixed_1
1.1,this study,Ais1,344,-0.809,0.021,2.888,0.042,FALSE,0.715,FALSE,19.01,0.043,0.2,0.059632309,0.11598975,bivalve,mixed_1
1.1,this study,Ais1,344,-1.326,0.019,2.919,0.039,FALSE,0.728,FALSE,18.566,0.043,0.2,0.061672867,0.128376025,bivalve,mixed_1
1.1,this study,Ais1,344,-0.906,0.012,2.76,0.03,FALSE,0.719,FALSE,18.808,0.043,0.2,0.164984381,0.06331779,bivalve,mixed_1
1.1,this study,Ais1,344,-0.645,0.015,3.564,0.031,FALSE,0.632,FALSE,19.811,0.043,0.2,0.017269682,0.089913293,bivalve,mixed_1
1.1,this study,Ais1,344,-0.57,0.025,3.506,0.054,FALSE,0.605,FALSE,19.777,0.043,0.2,-0.169754665,0.185206882,bivalve,mixed_1
1.1,this study,Ais1,344,-0.768,0.023,3.067,0.041,FALSE,0.673,FALSE,19.186,0.043,0.2,-0.032777718,0.135248153,bivalve,mixed_1
1.1,this study,Ais1,344,-0.88,0.021,2.713,0.037,FALSE,0.673,FALSE,18.691,0.043,0.2,0.003971198,0.104441826,bivalve,mixed_1
1.1,this study,Ais1,344,-0.576,0.014,3.126,0.031,FALSE,0.636,FALSE,19.385,0.043,0.2,0.036565014,0.081060759,bivalve,mixed_1
1.1,this study,Ais1,344,-0.957,0.026,2.591,0.051,FALSE,0.62,FALSE,18.441,0.043,0.2,-0.114705949,0.135880837,bivalve,mixed_1
1.1,this study,Ais1,348,-1.045,0.019,2.703,0.037,FALSE,0.701,FALSE,18.52,0.043,0.2,-0.098290772,0.083155043,bivalve,mixed_1
1.1,this study,Ais1,348,-0.714,0.029,2.79,0.054,FALSE,0.661,FALSE,18.902,0.043,0.2,-0.258923754,0.143668887,bivalve,mixed_1
1.1,this study,Ais1,348,-1.063,0.022,2.727,0.045,FALSE,0.657,FALSE,18.483,0.043,0.2,-0.16619096,0.102030524,bivalve,mixed_1
1.1,this study,Ais1,348,-0.936,0.022,2.812,0.04,FALSE,0.64,FALSE,18.683,0.043,0.2,-0.151746079,0.0883339,bivalve,mixed_1
1.1,this study,Ais1,348,-0.953,0.028,2.763,0.054,FALSE,0.625,FALSE,18.614,0.043,0.2,-0.283931273,0.149159129,bivalve,mixed_1
1.1,this study,Ais1,348,-0.958,0.019,2.315,0.031,FALSE,0.717,FALSE,18.227,0.043,0.2,-0.056856335,0.077935033,bivalve,mixed_1
1.1,this study,Ais1,348,-0.534,0.012,3.195,0.025,FALSE,0.749,FALSE,19.585,0.043,0.2,-0.235344859,0.071853787,bivalve,mixed_1
1.1,this study,Ais1,348,-0.582,0.024,3.352,0.046,FALSE,0.759,FALSE,19.707,0.043,0.2,-0.07369065,0.121721651,bivalve,mixed_1
1.1,this study,Ais1,348,-0.888,0.02,2.907,0.044,FALSE,0.729,FALSE,18.918,0.043,0.2,-0.199092081,0.099065147,bivalve,mixed_1
1.1,this study,Ais1,348,-0.997,0.039,2.533,0.064,FALSE,0.605,FALSE,18.316,0.043,0.2,-0.337649948,0.164084545,bivalve,mixed_1
1.1,this study,Ais1,395,-1.313,0.013,2.661,0.019,FALSE,0.635,FALSE,18.257,0.043,0.2,-0.085718538,0.037701514,bivalve,3
1.1,this study,Ais1,395,0.645,0.013,4.203,0.02,FALSE,0.663,FALSE,21.809,0.043,0.2,0.275100617,0.039345635,bivalve,29
1.1,this study,Ais1,395,-0.412,0.01,3.778,0.018,FALSE,0.693,FALSE,20.357,0.043,0.2,0.209544367,0.0505847,bivalve,6A
1.1,this study,Ais1,395,0.429,0.007,4.102,0.014,FALSE,0.687,FALSE,21.518,0.043,0.2,-0.031003959,0.032962991,bivalve,6B
1.1,this study,Ais1,396,-1.377,0.011,3.07,0.019,FALSE,0.741,FALSE,18.733,0.043,0.2,0.120150844,0.03462879,bivalve,3
1.1,this study,Ais1,396,0.221,0.01,4.124,0.016,FALSE,0.669,FALSE,21.326,0.043,0.2,0.034076297,0.042387098,bivalve,29
1.1,this study,Ais1,396,-0.411,0.011,3.781,0.02,FALSE,0.668,FALSE,20.347,0.043,0.2,0.171757688,0.035242499,bivalve,6A
